#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes,cpuMemBytes
0,0.0006,1413.99,454.919,0,0,1048576,70,70,20097,43531112,73465856
0,144.619,278.799,592.449,0,0,1048576,74,144,42401,45270824,75563008
0,261.703,138.5,414.776,0,0,1048576,60,201,58517,46624904,77660160
0,374.726,117.061,472.163,0,0,1048576,58,257,77226,48119696,79757312
0,495.746,112.775,459.399,0,0,1048576,54,309,91982,49308832,81854464
0,594.517,121.807,460.381,0,0,1048576,52,360,106582,50457096,83951616
0,693.673,97.9868,358.584,0,0,1048576,44,402,118524,51484200,86048768
0,818.296,100.272,413.592,0,0,1048576,49,444,131872,52746656,88145920
0,989.819,148.367,480.415,0,0,1048576,69,510,150384,54285960,90243072
0,1114.59,148.102,581.903,0,0,1048576,72,578,171094,56011944,92340224
0,1227.9,124.142,434.728,0,0,1048576,59,629,187814,57548648,94437376
0,1314.66,113.288,340.454,0,0,1048576,49,673,200845,58711784,96534528
0,1396.37,86.9068,349.648,0,0,1048576,42,711,212753,59699680,98631680
0,1476.79,81.3746,239.766,0,0,1048576,37,742,221642,60550920,100728832
0,1563.7,82.8728,281.367,0,0,1048576,41,770,228469,61394984,102825984
0,1637.23,84.6115,302.372,0,0,1048576,38,797,233772,62005256,104923136
0,1684.36,73.3226,80.766,0,0,1048576,19,814,237849,62340864,107020288
0,1717.37,47.8135,10.319,0,0,1048576,4,818,238950,62423024,109117440
0,1746.77,32.3506,13.652,0,0,1048576,5,823,240082,62500920,111214592
0,1782.38,30.4339,15.599,0,0,1048576,7,828,241910,62657960,113311744
0,1821.84,34.3242,34.51,0,0,1048576,13,841,246072,63012600,115408896
0,1855.24,39.5931,24.535,0,0,1048576,9,849,249257,63272288,117506048
0,1886.08,34.563,17.755,0,0,1048576,7,856,252270,63514504,119603200
0,1918.61,29.8337,10.29,0,0,1048576,4,860,253212,63594688,121700352
0,1958.35,32.7895,71.275,0,0,1048576,10,870,256954,63853752,123797504
0,2000.49,39.441,47.721,0,0,1048576,15,882,262792,64323936,125894656
0,2032.83,41.5627,28.333,0,0,1048576,10,892,265345,64528192,127991808
0,2063.46,33.0134,19.45,0,0,1048576,6,898,267322,64744304,130088960
0,2094.6,30.9004,19.706,0,0,1048576,7,905,271136,64984960,132186112
0,2130.34,30.3588,24.45,0,0,1048576,7,911,273172,65192024,134283264
0,2169.91,36.4499,50.383,0,0,1048576,12,923,281006,65825696,136380416
0,2203.93,39.3121,47.594,0,0,1048576,13,936,286737,66243880,138477568
0,2236.36,34.0179,25.35,0,0,1048576,9,946,290350,66489424,140574720
0,2267.16,32.8009,12.173,0,0,1048576,4,949,291510,66601432,142671872
0,2301.45,31.7663,33.864,0,0,1048576,9,958,294581,66845416,144769024
0,2341.14,32.9792,40.231,0,0,1048576,9,967,298821,67207856,146866176
0,2399.07,40.1881,123.322,0,0,1048576,18,985,308773,67955720,148963328
0,2434.78,57.5576,76.099,0,0,1048576,8,992,311276,68184624,151060480
0,2473.02,36.3475,29.121,0,0,1048576,7,1000,314370,68423512,153157632
0,2517.58,43.4431,39.454,0,0,1048576,10,1009,316960,68635672,155254784
0,2559.52,38.9985,32.703,0,0,1048576,9,1017,320196,68913352,157351936
0,2601.42,41.5628,35.386,0,0,1048576,9,1026,323566,69191968,159449088
0,2649.71,42.2733,173.255,0,0,1048576,19,1044,334018,70034056,161546240
0,2686.41,49.1479,24.721,0,0,1048576,6,1050,336130,70209816,163643392
0,2730.99,36.7818,57.787,0,0,1048576,14,1064,342205,70673968,165740544
0,2764.02,43.2673,31.017,0,0,1048576,8,1072,344566,70876560,167837696
0,2799.54,33.816,31.155,0,0,1048576,9,1081,348961,71199168,169934848
0,2841.87,35.2239,25.905,0,0,1048576,8,1089,351176,71348824,172032000
0,2886.35,42.8206,76.193,0,0,1048576,17,1106,361012,72147648,174129152
0,2921.17,44.8545,38.372,0,0,1048576,11,1117,365580,72496048,176226304
0,2955.06,33.4283,23.645,0,0,1048576,8,1125,369482,72799416,178323456
0,2991.28,33.2558,36.302,0,0,1048576,11,1136,373840,73158944,180420608
0,3027.65,37.3357,31.153,0,0,1048576,9,1144,377297,73452744,182517760
0,3070.61,35.9543,37.944,0,0,1048576,10,1152,381802,73889752,184614912
0,3115.7,42.5759,51.626,0,0,1048576,13,1165,387166,74281728,186712064
0,3153.56,45.2571,52.603,0,0,1048576,12,1178,392653,74680464,188809216
0,3188.73,37.6569,40.349,0,0,1048576,13,1189,396600,75068800,190906368
0,3220.78,34.8795,16.878,0,0,1048576,7,1196,398646,75210448,193003520
0,3257.61,32.073,41.756,0,0,1048576,13,1208,403073,75585680,195100672
0,3291.27,37.7981,17.539,0,0,1048576,7,1215,405401,75760608,197197824
0,3331.71,33.4904,48.661,0,0,1048576,14,1228,409920,76156640,199294976
0,3360.65,40.9915,9.56,0,0,524288,5,1232,411332,76297248,201392128
0,3391.44,28.3926,19.293,0,0,524288,7,1239,413854,76526776,203489280
0,3432.12,30.6236,36.371,0,0,524288,14,1254,419414,76879648,205586432
0,3468.43,40.6449,38.991,0,0,524288,13,1267,423868,77287848,207683584
0,3497.69,35.6877,21.985,0,0,524288,7,1274,426928,77481704,209780736
0,3531.04,29.2607,18.602,0,0,524288,6,1280,429246,77672024,211877888
0,3663.55,134.308,21.978,0,0,524288,7,1287,431266,77822928,213975040
