#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
1,1840697358,7484,1072
1,14,7687,680
1,1840697382,8666,192
1,1227132930,8510,400
1,1227132963,6648,996
1,358,5915,1632
1,1840697638,7631,1372
1,1227132931,8603,176
1,1840697862,6733,3072
1,1840697639,6465,668
1,1840697379,7089,768
1,1227133186,6955,796
1,1840697391,6383,524
1,2314,8098,92
1,1840698114,3747,728
1,613567270,7677,468
1,2058,6450,288
1,1840699398,7633,484
1,1840697414,6181,860
1,1227133730,8249,104
1,1227135791,7960,668
1,1227133483,7381,160
1,1840700230,6882,1048
1,871,6556,2328
1,1840697642,6118,876
1,1227133218,7907,180
1,518,5168,2696
1,1840698210,5053,728
1,1840698159,5320,1104
1,1840697610,7118,1948
1,874,7838,532
1,613567237,2063,4
1,559,6578,1180
1,2634,7607,1568
1,1840697450,5770,1524
1,1840699498,4618,740
1,1227149827,7180,1452
1,1227133807,8225,168
1,622,8045,48
1,613567043,7479,596
1,1840699727,5827,536
1,1840699402,6441,1372
1,1227133002,8429,628
1,613565283,7770,328
1,1840699471,4724,540
1,2851,5940,1368
1,1840698146,4569,988
1,1227149890,7756,1088
1,1840697422,6623,1040
1,1840697602,7613,156
1,71,4830,1484
1,770,3540,960
1,613567054,7932,888
1,2087,7903,248
1,1840698123,5054,808
1,613564419,7636,1572
1,1840699438,8926,304
1,1840699503,4872,1028
1,1840699754,6998,1148
1,355,6683,2176
1,1840700202,5320,684
1,2062,7191,1284
1,1227133739,8139,100
1,613566570,8753,540
1,1840699723,5624,1244
1,2818,4081,1220
1,99,4466,1160
1,613566795,7864,172
1,1227135787,7765,592
2,2635,7700,136
2,1840697350,8024,1024
2,6438,7967,460
2,613566474,7627,56
2,1840697679,4336,608
2,2119,4059,616
2,107,3425,936
2,6406,8062,404
2,323,4595,1696
2,1227133799,7857,124
2,2402,8703,88
2,2658,5327,1340
2,295,8683,440
2,1840698211,5677,1692
2,1840697359,7987,996
2,1227133482,8399,388
2,613566542,7504,252
2,1227133706,7376,52
2,613564430,7762,576
2,1840698190,8050,1204
2,515,7540,1608
2,271,5694,832
2,303,6364,1252
2,1840698126,4391,420
2,1840699914,6327,1836
2,1840697890,4497,1256
2,613566819,7588,272
2,16386,7614,308
2,1840697355,6389,656
2,613564490,7544,292
2,1227135501,3659,80
2,1840699759,6129,1008
2,2115,5281,928
2,522,7940,480
2,1227133486,7666,420
2,1840697675,4512,1044
2,1840700163,4162,620
2,1840698127,4975,1060
