#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes,cpuMemBytes
0,0.0003,1299.98,462.939,0,0,1048576,69,69,20192,43538496,73465856
0,136.475,257.919,525.867,0,0,1048576,68,137,36878,44840056,75563008
0,233.958,131.722,405.203,0,0,1048576,53,189,50884,45933928,77660160
0,324.869,97.2291,356.955,0,0,1048576,44,233,62829,46864936,79757312
0,408.688,90.9089,391.092,0,0,1048576,41,273,74109,47778680,81854464
0,483.685,83.8155,244.999,0,0,1048576,39,310,87526,48865064,83951616
0,558.17,75.0028,359.627,0,0,1048576,34,340,97064,49738352,86048768
0,639.284,74.4809,213.947,0,0,1048576,30,366,104730,50411336,88145920
0,734.775,81.4073,358.349,0,0,1048576,34,397,113013,51099400,90243072
0,839.871,95.4555,398.637,0,0,1048576,48,441,126344,52203776,92340224
0,928.054,105.778,332.253,0,0,1048576,44,480,137640,53211120,94437376
0,1021.26,87.288,321.634,0,0,1048576,45,518,150037,54373008,96534528
0,1106.74,95.1769,337.65,0,0,1048576,42,550,159250,55418520,98631680
0,1196.87,84.1864,331.006,0,0,1048576,43,589,171174,56488992,100728832
0,1275.75,90.1623,279.753,0,0,1048576,39,619,179458,57370288,102825984
0,1354.74,78.6279,298.577,0,0,1048576,38,653,191336,58384704,104923136
0,1438.12,79.0779,246.618,0,0,1048576,40,683,201281,59378112,107020288
0,1517.14,83.5863,280.971,0,0,1048576,39,716,209057,60217184,109117440
0,1593.4,79.3696,261.023,0,0,1048576,29,736,216201,61018920,111214592
0,1665.2,75.1079,239.841,0,0,1048576,36,765,223200,61703864,113311744
0,1736.15,71.7999,228.94,0,0,1048576,35,793,232333,62623120,115408896
0,1806.31,71.7608,217.07,0,0,1048576,30,816,238728,63271768,117506048
0,1871.35,69.8106,186.447,0,0,1048576,29,838,246346,64078288,119603200
0,1924.92,64.5666,170.487,0,0,1048576,26,857,251912,64693656,121700352
