#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes,cpuMemBytes
0,0.0002,1424.65,464.922,0,0,1048576,67,67,16926,43283800,73465856
0,138.796,261.889,534.862,0,0,1048576,70,137,36492,44809896,75563008
0,302.964,135.175,464.853,0,0,1048576,67,202,56929,46442176,77660160
0,437.517,159.595,648.949,0,0,1048576,79,279,78890,48203728,79757312
0,547.299,134.042,460.622,0,0,1048576,65,343,96866,49638720,81854464
0,650.076,109.753,398.012,0,0,1048576,52,393,111053,50790624,83951616
0,779.2,102.793,442.614,0,0,1048576,50,441,126082,52026976,86048768
0,903.341,136.138,447.596,0,0,1048576,65,499,144858,53654680,88145920
0,1006.03,117.829,446.088,0,0,1048576,59,556,164873,55287168,90243072
0,1090.08,103.052,366.583,0,0,1048576,47,602,179876,56478488,92340224
0,1178.89,83.8742,348.876,0,0,1048576,45,641,190874,57528784,94437376
0,1258.18,89.4544,223.442,0,0,1048576,38,675,199620,58358912,96534528
0,1329.61,77.7392,310.324,0,0,1048576,38,707,209690,59285240,98631680
0,1406.89,71.4283,292.074,0,0,1048576,40,736,217906,60252128,100728832
0,1477.36,77.4559,233.878,0,0,1048576,34,763,225598,61016008,102825984
0,1540.97,70.2906,255.295,0,0,1048576,32,791,231285,61549008,104923136
0,1590.89,63.5984,92.275,0,0,1048576,26,812,237573,62169784,107020288
0,1628.58,49.9288,20.478,0,0,1048576,9,817,238680,62332752,109117440
0,1658.17,37.6833,14.432,0,0,1048576,6,822,240369,62484488,111214592
0,1689.65,29.5939,17.347,0,0,1048576,6,829,241738,62555104,113311744
0,1726.05,31.4796,27.093,0,0,1048576,10,839,245554,62887904,115408896
0,1763.36,36.393,35.929,0,0,1048576,13,852,249424,63177960,117506048
0,1798.42,37.332,22.209,0,0,1048576,7,858,252152,63420176,119603200
0,1830.76,35.0426,14.551,0,0,1048576,4,863,253320,63481848,121700352
0,1872.09,32.341,111.476,0,0,1048576,12,874,256816,63796344,123797504
0,1908.46,41.3291,46.154,0,0,1048576,14,886,261864,64245312,125894656
0,1941.54,36.3683,26.882,0,0,1048576,10,896,264904,64449568,127991808
0,1973.37,33.0743,28.552,0,0,1048576,7,903,267562,64666928,130088960
0,2008.84,31.8496,26.559,0,0,1048576,7,910,269818,64826048,132186112
0,2045.3,35.455,26.931,0,0,1048576,8,918,272944,65072632,134283264
0,2084.67,36.4657,55.933,0,0,1048576,14,932,281760,65761112,136380416
0,2117.36,39.3663,45.739,0,0,1048576,12,943,286152,66159224,138477568
0,2148.44,32.6828,27.886,0,0,1048576,9,952,289721,66404768,140574720
0,2174.53,31.0865,12.357,0,0,1048576,4,956,291172,66516776,142671872
0,2214.66,26.0884,48.448,0,0,1048576,9,965,294372,66760760,144769024
0,2253.81,40.1416,45.477,0,0,1048576,10,975,298512,67123304,146866176
0,2301.58,39.1671,167.528,0,0,1048576,21,995,309584,68018536,148963328
0,2328.35,47.7408,15.812,0,0,1048576,5,1000,310664,68086032,151060480
0,2358.56,26.771,27.3,0,0,1048576,8,1008,313660,68327416,153157632
0,2389.62,30.2091,35.224,0,0,1048576,11,1019,317374,68658240,155254784
0,2417.48,31.0569,18.145,0,0,1048576,6,1025,319848,68815696,157351936
0,2450.02,27.862,18.502,0,0,1048576,6,1031,322558,69041896,159449088
0,2498.77,32.5488,150.874,0,0,1048576,13,1045,330765,69632824,161546240
0,2531.34,48.7467,49.082,0,0,1048576,10,1054,335673,70060992,163643392
0,2572.98,32.5616,51.703,0,0,1048576,14,1068,341790,70525144,165740544
0,2603.22,41.6418,34.728,0,0,1048576,8,1076,344497,70727736,167837696
0,2634.92,30.3239,34.177,0,0,1048576,10,1085,348613,71084352,169934848
0,2666.2,31.618,14.89,0,0,1048576,6,1091,350813,71231616,172032000
0,2711.15,31.2786,108.353,0,0,1048576,17,1108,360488,72030440,174129152
0,2743.18,44.9464,41.96,0,0,1048576,11,1119,365237,72380712,176226304
0,2779.3,32.0341,27.269,0,0,1048576,8,1127,369228,72684080,178323456
0,2811.88,36.1183,36.814,0,0,1048576,11,1138,373485,73043608,180420608
0,2842.41,32.583,25.362,0,0,1048576,7,1145,377565,73335744,182517760
0,2876.68,30.5593,26.988,0,0,1048576,8,1153,382140,73723352,184614912
0,2915.43,34.2476,45.156,0,0,1048576,12,1165,386901,74066032,186712064
0,2953.31,38.9217,43.227,0,0,1048576,11,1176,391848,74461336,188809216
0,2987.09,37.9654,37.499,0,0,1048576,12,1188,396169,74806928,190906368
0,3015.9,33.5174,13.139,0,0,1048576,6,1194,398028,74928296,193003520
