#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
1,14,0,680
1,6588122883467694118,0,192
1,1317624576693538818,0,400
1,6588122883467694094,0,1072
1,6588122883467694350,0,1036
1,5270498306774155274,0,1164
1,2314,0,92
1,2370,0,2280
1,6588122883467694626,0,1256
1,6588122883467694090,0,788
1,2895,0,464
1,5270498306774155566,0,128
1,871,0,2212
1,6588122883467694086,0,1024
1,1317624576693541122,0,128
1,5270498306774157620,0,1680
1,1317624576693538830,0,208
1,6588122883467696195,0,1148
1,6588122883467696483,0,536
1,6588122883467696175,0,1700
1,6588122883467694951,0,744
1,2347,0,76
1,874,0,476
1,1317624576693541667,0,856
1,590,0,152
1,579,0,24
1,6588122883467694863,0,1060
1,6588122883467694151,0,1412
1,299,0,1648
1,39,0,820
1,1317624576693541734,0,740
1,6588122883467696170,0,1124
1,6588122883467694446,0,1176
1,6588122883467696395,0,76
1,6588122883467696643,0,952
1,5270498306774156139,0,1424
1,5270498306774156131,0,328
1,6588122883467694375,0,668
1,6588122883467694402,0,1064
1,6588122883467696994,0,732
1,6588122883467696139,0,600
1,1317624576693539587,0,108
1,6588122883467696451,0,2000
1,6588122883467696743,0,812
1,2055,0,1080
1,6588122883467697021,0,2784
1,6588122883467696134,0,484
1,6588122883467696995,0,652
1,5270498306774157902,0,808
1,5270498306774155883,0,828
1,2603,0,808
1,323,0,1696
1,16450,0,220
1,6588122883467696206,0,556
1,6588122883467694434,0,676
1,6588122883467696899,0,620
1,2127,0,604
1,1317624576693539338,0,3028
1,16458,0,760
1,2594,0,516
1,778,0,812
1,6588122883467696911,0,1292
1,6588122883467694178,0,912
1,6588122883467696651,0,1860
1,2882,0,804
2,6588122883467694895,0,1104
2,6588122883467694115,0,768
2,6588122883467696747,0,52
2,2667,0,168
2,6588122883467696938,0,684
2,6588122883467696494,0,1228
2,5270498306774157419,0,92
2,5270498306774158115,0,88
2,6588122883467696998,0,896
2,2062,0,1284
2,6588122883467694599,0,1928
2,6588122883467696131,0,1060
2,6588122883467696130,0,456
2,1317624576693541666,0,292
2,6588122883467696898,0,1292
2,6588122883467694883,0,1104
2,878,0,500
2,5270498306774155279,0,488
2,75,0,1404
2,6588122883467696678,0,644
2,6588122883467694958,0,1384
2,6588122883467696203,0,584
2,2595,0,768
2,1317624576693539374,0,420
2,6588122883467696455,0,724
2,2414,0,232
2,358,0,1508
2,6588122883467694635,0,676
2,5270498306774157642,0,64
2,5270498306774157898,0,852
2,5270498306774161446,0,216
2,2090,0,1504
2,6588122883467694339,0,524
2,6406,0,360
2,5270498306774161410,0,1100
2,2830,0,2104
2,1317624576693555722,0,716
2,1317624576693539079,0,524
2,6588122883467694862,0,420
2,5270498306774157670,0,1860
2,67,0,1032
2,2602,0,1720
2,1317624576693539627,0,80
2,334,0,1264
2,6588122883467694894,0,1252
2,6588122883467696650,0,1836
2,35,0,1112
2,5270498306774158086,0,236
2,6588122883467696491,0,492
2,6588122883467696458,0,1444
2,870,0,1176
2,550,0,1264
2,1317624576693555787,0,1560
2,6588122883467694351,0,732
2,6402,0,124
2,5270498306774157322,0,56
2,782,0,824
2,5270498306774157671,0,1100
2,6588122883467696674,0,1412
2,623,0,52
2,6588122883467696459,0,1244
2,266,0,1336
3,6588122883467694926,0,1204
3,295,0,440
3,6588122883467694371,0,664
3,5270498306774157678,0,1632
3,5270498306774157628,0,2188
3,1317624576693541450,0,124
3,834,0,1692
3,1317624576693541455,0,32
3,2082,0,40
3,6588122883467696194,0,1180
3,6588122883467694858,0,432
