#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
1,6588122883467694094,0,1072
1,1317624576693538823,0,1648
1,1317624576693538818,0,400
1,6588122883467694118,0,192
1,1317624576693538850,0,1392
1,6588122883467694114,0,588
1,2370,0,2280
1,6588122883467696654,0,1828
1,1317624576693538855,0,2248
1,6588122883467696135,0,1496
1,6588122883467694346,0,1904
1,1317624576693538890,0,628
1,6588122883467694851,0,428
1,1317624576693538851,0,996
1,1317624576693538819,0,176
1,298,0,1120
1,5270498306774157895,0,80
1,1317624576693541674,0,784
1,6588122883467694887,0,444
1,6588122883467694083,0,648
1,6588122883467694370,0,872
1,6588122883467696483,0,536
1,6588122883467696455,0,724
1,5270498306774157646,0,204
1,2347,0,76
1,615,0,36
1,1317624576693538858,0,284
1,835,0,204
1,6588122883467694342,0,768
1,6588122883467696450,0,2136
1,1317624576693541670,0,524
1,14,0,680
1,6588122883467694919,0,1356
1,6588122883467694350,0,1036
1,551,0,616
1,47,0,876
1,358,0,1508
1,6588122883467694183,0,1220
1,107,0,936
1,1317624576693539374,0,420
1,6588122883467696491,0,492
1,6588122883467696162,0,472
1,2819,0,824
1,5270498306774155274,0,1164
1,6588122883467696203,0,584
1,2315,0,344
1,6588122883467696714,0,672
1,5270498306774155334,0,644
1,6588122883467694954,0,2228
1,2883,0,1124
1,2894,0,564
1,5270498306774156139,0,1424
1,6434,0,452
1,6588122883467694918,0,1800
1,5270498306774157383,0,588
1,1317624576693539338,0,3028
1,2375,0,1368
1,6588122883467694602,0,120
1,2091,0,2564
1,6588122883467696934,0,1224
1,5270498306774158118,0,432
1,6588122883467694146,0,948
1,1317624576693539371,0,160
2,6588122883467696686,0,1044
2,6588122883467696226,0,932
2,5270498306774157617,0,1256
2,1317624576693541734,0,740
2,5270498306774155554,0,1044
2,303,0,1252
2,6588122883467696679,0,604
2,5270498306774157422,0,140
2,6588122883467697006,0,124
2,6588122883467694379,0,652
2,2150,0,2452
2,2414,0,232
2,6588122883467696719,0,1980
2,2627,0,1144
2,2603,0,808
2,6588122883467694947,0,1692
2,587,0,40
2,611,0,40
2,770,0,924
2,6588122883467694950,0,820
2,802,0,592
2,6588122883467694371,0,664
2,6588122883467694955,0,880
2,6588122883467694634,0,3512
2,778,0,812
2,38,0,36
2,1317624576693541450,0,124
2,6588122883467696674,0,1412
2,774,0,556
2,1317624576693541735,0,1336
2,2147,0,724
2,6588122883467694082,0,1176
2,6588122883467694339,0,524
2,550,0,1264
2,1317624576693539330,0,1240
2,515,0,1608
2,5270498306774157647,0,184
2,5270498306774157620,0,1464
2,6588122883467696139,0,600
2,74,0,644
2,6588122883467694126,0,844
2,547,0,2324
2,6588122883467697017,0,2168
2,267,0,388
2,335,0,632
2,5270498306774157935,0,268
2,6588122883467694446,0,1176
2,4354,0,136
2,6588122883467694691,0,20
2,2155,0,800
2,5270498306774157314,0,1008
2,2571,0,688
2,6588122883467696230,0,2044
2,591,0,216
2,16906,0,1320
2,2063,0,1140
2,263,0,364
3,5270498306774157675,0,416
3,6588122883467696711,0,1160
3,1317624576693541443,0,176
3,2915,0,872
3,559,0,1120
3,16451,0,408
3,1317624576693539420,0,1468
3,1317624576693555786,0,740
3,6588122883467696739,0,784
3,52,0,1376
3,1317624576693539591,0,136
3,6588122883467696655,0,924
3,5270498306774157667,0,272
3,5270498306774158082,0,96
3,5270498306774155558,0,1132
3,2862,0,568
3,1317624576693541671,0,784
3,5270498306774157671,0,1100
3,6588122883467694631,0,1632
3,5270498306774157670,0,1860
3,66,0,1532
3,5270498306774155271,0,552
3,2659,0,628
3,2595,0,768
3,6588122883467694895,0,1104
3,334,0,1264
3,6588122883467696742,0,576
3,783,0,660
3,5270498306774158155,0,336
3,6438,0,404
3,5270498306774157410,0,256
3,6588122883467694915,0,464
3,618,0,280
3,1317624576693541730,0,36
3,810,0,996
3,6588122883467694694,0,2636
3,610,0,452
3,20482,0,72
3,5270498306774157624,0,1012
3,614,0,1400
3,6588122883467696902,0,1128
3,2050,0,428
3,1317624576693555778,0,1088
3,1317624576693538862,0,172
4,1317624576693555714,0,728
4,5270498306774155854,0,40
4,271,0,832
4,2411,0,2124
4,3952873730080618237,0,4
4,5270498306774157390,0,252
4,1317624576693541738,0,724
4,5270498306774159654,0,1272
4,558,0,1728
4,5270498306774157382,0,588
4,2886,0,436
4,6588122883467694411,0,1044
4,6588122883467694158,0,1040
4,2826,0,584
4,6588122883467694178,0,912
4,5270498306774155278,0,544
4,5270498306774161442,0,356
4,6588122883467696490,0,1148
4,1317624576693539419,0,160
4,1317624576693541742,0,1776
4,1317624576693539367,0,296
4,1317624576693539626,0,420
4,2059,0,772
4,6588122883467694410,0,828
4,518,0,2604
4,6588122883467697013,0,976
4,266,0,1336
4,5270498306774156138,0,1988
4,6588122883467694443,0,1464
4,6588122883467694882,0,928
4,6182,0,88
5,2371,0,1200
5,1317624576693555787,0,1560
5,5270498306774155266,0,676
5,6588122883467694855,0,440
5,259,0,1204
5,6588122883467696899,0,620
5,2119,0,616
5,2054,0,164
5,2918,0,848
5,5270498306774156099,0,1140
5,5270498306774157588,0,2364
5,322,0,1668
5,6588122883467694343,0,836
5,6588122883467696143,0,636
5,1317624576693541678,0,1252
5,363,0,1736
5,1317624576693541455,0,32
5,5270498306774157386,0,56
5,846,0,368
5,1317624576693539078,0,1508
5,2890,0,800
5,6588122883467694407,0,1832
5,6588122883467694187,0,1056
5,6588122883467696989,0,2456
5,6588122883467696646,0,720
5,2114,0,708
5,6588122883467696974,0,1132
5,5270498306774159398,0,676
6,5270498306774156103,0,1424
6,5270498306774157643,0,172
6,5270498306774157903,0,1004
6,1317624576693539453,0,1724
6,6588122883467696199,0,712
6,6588122883467694159,0,1508
6,5270498306774157379,0,80
6,1317624576693539106,0,180
6,2146,0,1380
6,806,0,1332
6,5270498306774159618,0,1272
6,6588122883467696943,0,2016
6,331,0,792
6,6588122883467697021,0,2696
6,2827,0,856
6,5270498306774157318,0,192
6,1317624576693539618,0,104
6,16450,0,220
6,1317624576693539331,0,1136
6,5270498306774157625,0,1844
6,5270498306774155330,0,1372
6,102,0,960
6,1317624576693541743,0,1224
6,1317624576693539623,0,140
6,6588122883467696931,0,1084
6,21,0,1456
6,39,0,780
7,70,0,692
7,6588122883467696750,0,1144
7,2314,0,92
7,6588122883467696998,0,896
7,6588122883467696170,0,1124
7,6588122883467694151,0,1412
7,290,0,64
7,6588122883467696487,0,32
7,5270498306774161666,0,620
7,2351,0,136
7,6588122883467696707,0,1028
7,6588122883467694890,0,948
7,2122,0,756
7,106,0,1416
7,6588122883467694627,0,3056
7,2662,0,1324
7,6588122883467694626,0,1256
7,838,0,720
7,5270498306774155559,0,720
7,2635,0,116
7,299,0,1648
7,5270498306774157616,0,924
7,6588122883467696751,0,12
7,1317624576693539630,0,212
7,1317624576693539412,0,596
8,333,0,16
8,2666,0,1020
8,2082,0,40
8,1317624576693539449,0,2544
8,111,0,760
8,6588122883467694383,0,472
8,5270498306774157681,0,568
8,5270498306774155887,0,1304
8,6588122883467696718,0,1372
8,6588122883467696463,0,536
8,6588122883467696207,0,540
8,5270498306774155331,0,828
8,6588122883467696683,0,772
8,1317624576693539342,0,236
8,771,0,616
8,6588122883467696195,0,1148
8,519,0,1508
8,15,0,556
8,2051,0,876
8,6588122883467696930,0,1096
9,5270498306774155886,0,528
9,1317624576693539416,0,2248
9,6588122883467694926,0,1204
9,2634,0,1528
9,622,0,44
9,1317624576693538854,0,1572
9,6588122883467696995,0,652
9,2926,0,692
9,5270498306774159650,0,764
9,5270498306774155882,0,136
9,6588122883467694606,0,396
9,1317624576693539595,0,40
9,5270498306774157322,0,56
9,5270498306774157652,0,1740
9,1317624576693539421,0,812
10,6588122883467696687,0,1728
10,1317624576693541667,0,856
10,1317624576693539687,0,124
10,1317624576693539356,0,1284
10,871,0,2212
10,11,0,1160
10,5270498306774157674,0,532
10,2090,0,1504
10,6588122883467694695,0,568
10,5270498306774157684,0,536
10,5270498306774157315,0,328
10,6588122883467694154,0,888
10,2822,0,1880
10,2606,0,1488
10,2563,0,1324
10,16970,0,544
10,6588122883467696761,0,1392
10,1317624576693539677,0,984
10,6588122883467694414,0,1412
10,5270498306774156110,0,1416
10,839,0,444
10,6588122883467696643,0,952
10,6588122883467694406,0,768
11,5270498306774155555,0,64
11,6588122883467696227,0,708
11,6588122883467694859,0,808
11,6588122883467696706,0,744
11,5270498306774157415,0,100
11,277,0,788
11,5270498306774156106,0,992
11,48,0,2428
11,6588122883467694347,0,1180
11,6588122883467694402,0,1064
11,1317624576693539375,0,24
11,273,0,444
11,579,0,24
11,1317624576693539672,0,908
11,6588122883467696906,0,588
11,6588122883467696239,0,1028
11,5270498306774156098,0,36
11,2154,0,1056
11,1317624576693539395,0,60
11,1317624576693538891,0,1440
11,1317624576693539409,0,2668
11,2087,0,248
11,5270498306774161410,0,1100
12,6588122883467694598,0,2980
12,6588122883467694447,0,1072
12,803,0,1096
12,2566,0,1208
12,6588122883467694667,0,84
12,79,0,1260
12,6588122883467696957,0,152
12,362,0,2280
12,5270498306774158086,0,236
12,75,0,1404
12,6588122883467696962,0,884
12,2374,0,456
12,6588122883467696459,0,1244
12,1317624576693541739,0,48
12,6588122883467696163,0,1604
12,1317624576693539676,0,1172
12,2575,0,704
12,6588122883467694659,0,32
12,6588122883467696174,0,304
12,1317624576693541731,0,588
13,1317624576693539448,0,2072
13,1317624576693555722,0,716
13,6588122883467696999,0,1524
13,1317624576693555779,0,968
13,6588122883467696984,0,436
13,16907,0,868
13,6588122883467694186,0,1524
13,6588122883467696898,0,1292
13,6588122883467696911,0,1292
13,98,0,1000
13,6588122883467694439,0,480
13,2670,0,732
13,6588122883467696761,0,1332
13,6588122883467696994,0,732
13,1317624576693539627,0,80
13,6588122883467694147,0,1024
13,5270498306774157597,0,1772
13,1317624576693541675,0,580
13,2151,0,1760
13,5270498306774157592,0,1248
14,2914,0,912
14,330,0,1056
14,35,0,1112
14,6588122883467696175,0,1700
14,5270498306774157428,0,1064
14,1317624576693539421,0,812
14,305,0,772
14,6588122883467696935,0,1320
14,6588122883467694415,0,608
14,1317624576693541451,0,136
14,6588122883467694883,0,1104
14,1317624576693538895,0,352
14,5270498306774157359,0,12
14,1317624576693539074,0,796
14,1317624576693539452,0,1944
14,5270498306774155879,0,580
14,1317624576693539668,0,1284
14,6588122883467694435,0,760
14,1317624576693541679,0,668
14,1317624576693539075,0,408
14,6588122883467694378,0,876
14,103,0,1156
14,6588122883467694434,0,676
15,6588122883467696642,0,760
15,1317624576693538830,0,208
15,6588122883467696395,0,76
15,6588122883467694127,0,452
15,6588122883467694951,0,744
15,16962,0,1892
15,323,0,1696
15,1317624576693539445,0,688
15,2594,0,516
15,5270498306774157597,0,1772
15,5270498306774157679,0,884
15,6588122883467696651,0,1860
15,6588122883467696682,0,1564
15,2895,0,464
15,1317624576693539412,0,596
15,1317624576693539672,0,908
15,5270498306774156131,0,328
15,5270498306774157653,0,772
15,1317624576693539599,0,8
15,6588122883467696238,0,1624
15,1317624576693541442,0,104
