#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
4,1227133731,9763,164
4,771,8593,616
4,613567051,18771,1100
4,1840700230,26986,1000
4,1227132931,26536,176
5,558,15731,1728
5,550,4123,1264
5,1840699438,9613,304
5,1227133520,2588,924
5,2563,5504,1324
5,4354,9012,136
5,1227135787,8296,580
5,518,6354,2604
5,1840697706,6389,1676
5,613566470,7770,192
5,1840697902,5170,1476
5,2371,6093,1200
5,1227133799,7569,124
5,1840697455,4177,568
5,838,6464,720
5,613566794,9140,64
5,1227132967,6709,2248
5,613566562,7958,256
5,1840700006,5840,576
5,1840699435,7077,1516
5,1840699951,5963,1728
5,272,3304,980
5,1840698214,4311,820
5,1840697390,7456,844
5,1840699947,5817,772
5,2122,4628,756
5,613565259,6637,1472
5,613566574,7563,140
5,46,5991,772
5,1840697350,7257,1024
5,1227135563,7067,136
5,1840699466,5071,756
5,613564487,7303,332
5,613566768,6742,924
5,1227133532,5793,1468
5,4358,7510,156
5,2626,5238,408
5,1840700226,6085,884
5,1840697379,8749,768
5,363,4276,1736
5,1840699906,4824,760
5,2858,6912,1184
5,2927,6974,1012
5,16906,6237,1320
5,1840697411,6767,1024
5,1840697386,7428,548
5,103,4301,1156
5,2407,8155,128
5,1227133699,8426,108
5,2115,5870,928
5,295,7269,440
5,2374,8535,456
5,16459,7379,580
5,2059,5735,772
5,2575,5170,704
5,1227133482,8288,388
5,613565251,8567,1140
5,1840700166,4729,1128
5,1840698179,8878,464
5,613564431,8867,488
5,16458,8949,760
5,102,17449,960
5,1227133533,17660,812
5,1227133531,3471,160
5,106,9444,1416
6,1840697414,26269,860
6,1227135855,26492,1224
6,333,18313,16
6,290,7920,64
6,1840699970,5728,744
6,1840699459,5210,1148
6,1227135842,7481,36
6,2063,4838,1140
6,16898,6693,892
6,519,6715,1508
6,2402,7589,88
6,1840700171,4922,1308
6,11,7671,1160
6,2850,6846,1848
6,1227135786,7358,784
6,1840700253,4364,2456
6,802,3490,592
6,613565034,7415,136
6,1227149835,7195,604
6,613566740,5643,2364
6,2315,7927,344
6,1840697422,6299,1040
6,2607,5553,1384
6,613566827,9684,416
6,613567083,7872,364
6,2159,4151,556
6,18,2240,236
6,6434,7945,452
6,1227133784,3250,960
6,18,2047,236
6,1840699939,3971,668
6,20,5422,1900
6,613566543,7500,56
6,1840699978,5728,672
6,2895,7480,464
6,1227135555,7664,176
6,1840697442,6130,912
6,2894,8437,564
6,555,7177,1228
6,2410,7001,784
6,613564419,7538,1524
6,613566467,7524,328
6,783,4599,660
6,874,8010,476
6,78,4765,1396
6,1840699975,6552,1160
6,2666,7776,1020
6,79,4764,1260
6,329,7559,16
6,613565290,7294,1988
6,1840697635,7317,664
6,613566772,22684,1428
7,2631,24902,1432
7,613566570,25782,540
7,1840700207,28306,2016
7,2123,4546,1132
7,276,4040,1588
7,613567043,7450,564
7,613566744,3885,1372
7,1840700248,2242,448
7,613564426,9105,1164
7,1840700280,3036,1212
7,2574,5817,856
7,613567271,7747,68
7,6402,8456,124
7,613565039,8757,1304
7,1840699715,6906,2000
7,613566575,8333,100
7,2382,5990,660
7,1840697891,5517,3056
7,11,7221,1160
7,3,8790,12
7,846,7727,368
7,1840700249,3940,1464
7,2659,6252,628
7,613566795,7948,172
7,2819,3788,824
7,1227133442,6877,1240
7,613564490,7734,292
7,1227133553,4114,932
7,273,2267,476
7,1840697958,6529,2636
7,2663,7002,1712
7,613567266,7334,436
7,367,4910,1300
7,1840699754,7419,1148
7,619,8214,184
7,613566538,7778,56
7,613566832,3263,1936
7,613570822,7573,460
7,1227149890,7423,1088
7,1840698182,6381,1800
7,2863,5630,1260
7,1227133777,3100,452
7,1227135562,7449,124
7,1227133552,3960,1092
7,613566511,7429,24
7,613566777,5313,1844
7,1840699431,7946,372
7,613566822,31736,1760
7,1840699755,29464,492
7,1227132974,29286,172
8,1227133450,31393,3028
8,1840697710,5852,1176
8,2602,4977,1720
8,1227135854,6404,1776
8,52,3603,1236
8,613564711,7918,720
8,613565295,6952,1016
8,514,6687,1800
8,1840697927,7235,28
8,613568770,6286,1272
8,613566780,4368,2056
8,276,4160,1520
8,2379,4798,1580
8,586,7122,244
8,1840700258,6975,732
8,1227133002,7774,628
8,1840699943,4363,604
8,2114,5078,708
8,1840699502,4668,1624
8,1227133451,7851,388
8,2414,7835,232
