#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes
1,0.0003,1788.32,0,0,0,0,0,65,17844,43355352
2,132.928,269.146,0,0,0,0,0,144,42929,45312008
3,245.6,127.767,0,0,0,0,0,202,59725,46644352
4,343.372,112.993,0,0,0,0,0,262,77048,48038368
5,424.559,96.9383,0,0,0,0,0,308,89900,48998600
6,491.406,81.0353,0,0,0,0,0,346,100741,49844224
7,546.583,66.5047,0,0,0,0,0,372,107296,50387624
8,603.53,55.1808,0,0,0,0,0,400,114142,50910120
9,665.596,56.9498,0,0,0,0,0,427,121548,51467144
10,723.831,62.5737,0,0,0,0,0,451,131160,52216880
11,784.036,58.3075,0,0,0,0,0,477,138165,52811552
12,836.559,60.3118,0,0,0,0,0,497,144416,53328120
13,888.397,52.3465,0,0,0,0,0,519,151828,53884728
14,940.382,51.6486,0,0,0,0,0,540,156713,54290016
15,997.458,53.6633,0,0,0,0,0,560,162892,54867736
16,1060.84,55.6688,0,0,0,0,0,585,170524,55458456
17,1127.96,63.1986,0,0,0,0,0,610,177482,56035032
18,1188.08,67.1812,0,0,0,0,0,635,183000,56500224
19,1252.81,60.1092,0,0,0,0,0,661,192834,57362176
20,1311.51,65.081,0,0,0,0,0,686,200381,57995224
21,1362.06,58.2318,0,0,0,0,0,704,205061,58420480
22,1413.22,50.5421,0,0,0,0,0,726,213312,59053736
23,1458.51,51.6935,0,0,0,0,0,743,218000,59399432
24,1507.23,44.7731,0,0,0,0,0,758,222661,59868160
25,1556.16,49.3405,0,0,0,0,0,774,228446,60350096
26,1609.75,48.4377,0,0,0,0,0,791,233076,60740928
27,1683.35,53.5877,0,0,0,0,0,815,241337,61571056
28,1742.42,73.5049,0,0,0,0,0,835,248228,62200672
29,1813.76,60.2952,0,0,0,0,0,855,254738,62835384
30,1877.29,69.8899,0,0,0,0,0,876,259669,63247952
31,1945.54,65.1418,0,0,0,0,0,901,270382,64111256
32,2020.21,66.9573,0,0,0,0,0,926,280582,65121200
33,2076.17,74.5699,0,0,0,0,0,940,286486,65732616
34,2119.34,56.6405,0,0,0,0,0,944,288033,65930736
35,2163.9,42.1007,0,0,0,0,0,953,291181,66174616
36,2276.1,87.5428,0,0,0,0,0,962,294948,66579280
37,2326.95,69.453,0,0,0,0,0,984,306897,67416168
38,2370.63,50.6178,0,0,0,0,0,989,307914,67624064
39,2411.08,43.8076,0,0,0,0,0,998,310993,67864200
40,2453.46,40.8737,0,0,0,0,0,1010,314322,68147912
41,2495.66,42.5402,0,0,0,0,0,1017,316977,68496000
42,2539.18,41.9624,0,0,0,0,0,1024,318829,68683720
43,2596.75,43.5789,0,0,0,0,0,1038,327594,69397368
44,2649.89,61.1331,0,0,0,0,0,1049,333213,69979664
45,2697.06,50.2946,0,0,0,0,0,1063,339122,70486040
46,2739.95,46.9986,0,0,0,0,0,1071,341645,70843696
47,2783.32,42.2537,0,0,0,0,0,1081,345790,71213832
48,2832.03,43.361,0,0,0,0,0,1090,347764,71368792
49,2883.42,49.1085,0,0,0,0,0,1107,357580,72166784
50,2928.39,51.5457,0,0,0,0,0,1120,362458,72580704
51,2974.89,46.9913,0,0,0,0,0,1131,366860,73036120
52,3017.83,44.6228,0,0,0,0,0,1140,370046,73443488
53,3055.44,42.8089,0,0,0,0,0,1148,373257,73820904
54,3123.9,36.6738,0,0,0,0,0,1157,378097,74232952
55,3168.77,69.8327,0,0,0,0,0,1170,383733,74655192
56,3211.19,43.8263,0,0,0,0,0,1182,388866,75053720
57,3254.37,43.884,0,0,0,0,0,1194,393557,75429056
58,3287.31,41.7646,0,0,0,0,0,1203,395393,75564152
59,3324.15,33.7545,0,0,0,0,0,1216,399682,75944064
60,3359.41,39.8549,0,0,0,0,0,1224,402029,76108176
61,3401.39,32.437,0,0,0,0,0,1236,406533,76552152
62,3432.55,40.5859,0,0,0,0,0,1241,407592,76698064
63,3472.42,31.1157,0,0,0,0,0,1250,411193,77010376
64,3517.43,40.7234,0,0,0,0,0,1265,416530,77410048
65,3565.63,45.154,0,0,0,0,0,1279,421358,77831248
66,3601.12,47.1923,0,0,0,0,0,1287,422994,78065352
67,3641.01,35.4821,0,0,0,0,0,1294,425968,78316096
68,3674.83,40.4928,0,0,0,0,0,1301,427982,78500904
69,3710.58,33.6524,0,0,0,0,0,1312,431210,78791064
70,3750.14,36.0138,0,0,0,0,0,1323,433381,78964016
71,3784.85,38.9205,0,0,0,0,0,1333,436032,79204048
