#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
1,6588122883467694094,0,1072
1,14,0,680
1,6588122883467694118,0,192
1,6588122883467694086,0,1024
1,1317624576693539335,0,708
1,5270498306774155566,0,128
1,6588122883467696130,0,456
1,5270498306774155275,0,1540
1,6588122883467694626,0,1256
1,6588122883467696131,0,1060
1,6588122883467694126,0,844
1,5270498306774156135,0,420
1,111,0,760
1,6588122883467694890,0,948
1,6588122883467694895,0,1104
1,6588122883467696174,0,304
1,6588122883467694946,0,728
1,5270498306774155266,0,676
1,6588122883467696195,0,1148
1,6588122883467694091,0,656
1,6588122883467694095,0,996
1,6588122883467694147,0,1024
1,6588122883467694151,0,1412
1,6588122883467694438,0,612
1,6588122883467694919,0,1356
1,6588122883467694190,0,904
1,298,0,1120
1,1317624576693539371,0,160
1,2370,0,2280
1,622,0,44
1,6588122883467694183,0,1220
1,6588122883467694595,0,496
1,5270498306774156106,0,992
1,6588122883467694443,0,1464
1,6588122883467694403,0,1376
1,775,0,944
1,6588122883467696674,0,1412
1,7,0,208
1,6588122883467696903,0,732
1,6588122883467696395,0,76
1,5270498306774157322,0,56
1,1317624576693538819,0,176
1,6588122883467696910,0,756
1,1317624576693541122,0,128
1,6588122883467696203,0,584
1,5270498306774157327,0,24
1,295,0,440
1,1317624576693555722,0,716
1,2563,0,1324
1,1317624576693539338,0,3028
1,6588122883467697021,0,2784
1,1317624576693541678,0,1252
1,6588122883467694114,0,588
1,2374,0,456
1,579,0,24
1,6588122883467696642,0,760
1,326,0,672
1,6588122883467694343,0,836
1,263,0,364
1,6588122883467696743,0,812
1,1317624576693541442,0,104
1,5270498306774157902,0,808
1,5270498306774155879,0,580
1,1317624576693539374,0,420
1,2403,0,1308
2,6588122883467696494,0,1228
2,49,0,1212
2,779,0,1880
2,6588122883467696746,0,1240
2,550,0,1264
2,871,0,2212
2,5270498306774161410,0,1100
2,5270498306774157617,0,1256
2,1317624576693541734,0,740
2,6588122883467696202,0,756
2,4358,0,156
2,583,0,28
2,6588122883467696495,0,1008
2,1317624576693539694,0,164
2,6588122883467694695,0,568
2,6588122883467696490,0,1148
2,102,0,960
2,363,0,1736
2,5270498306774157895,0,80
2,6588122883467696463,0,536
2,106,0,1416
2,5270498306774159650,0,764
2,6588122883467696647,0,1940
2,1317624576693539421,0,812
2,67,0,1032
2,6588122883467694882,0,928
2,6588122883467694090,0,788
2,514,0,1800
2,16907,0,868
2,5270498306774155278,0,544
2,98,0,1000
2,2631,0,1432
2,2670,0,732
2,619,0,184
2,1317624576693539394,0,320
2,6588122883467694894,0,1252
2,6588122883467696227,0,708
2,1317624576693539619,0,164
2,1317624576693538818,0,400
2,6588122883467696963,0,796
2,6588122883467694598,0,2980
2,618,0,280
2,5270498306774155886,0,528
2,322,0,1668
2,2927,0,1012
2,2115,0,928
2,2062,0,1284
2,2114,0,708
2,6588122883467694371,0,664
2,330,0,1056
2,6588122883467696898,0,1292
2,2146,0,1380
2,558,0,1728
2,5270498306774157898,0,852
2,5270498306774155271,0,552
2,16906,0,1320
2,1317624576693541743,0,1224
2,2314,0,92
2,1317624576693539334,0,652
2,2083,0,892
2,21,0,1456
2,6588122883467696939,0,2496
2,6588122883467694659,0,32
2,107,0,936
2,5270498306774156098,0,36
2,5270498306774155882,0,136
2,6588122883467697006,0,124
2,1317624576693541455,0,32
2,5270498306774157675,0,416
2,5270498306774156138,0,1988
2,6588122883467696751,0,64
2,5270498306774157418,0,540
2,6588122883467696171,0,1516
2,16,0,2636
2,16386,0,308
2,6588122883467694951,0,744
2,2602,0,1720
2,6588122883467694854,0,884
2,6588122883467694119,0,948
3,6588122883467696899,0,620
3,6588122883467694415,0,608
3,294,0,520
3,5270498306774156131,0,328
3,6588122883467696714,0,672
3,6434,0,452
3,266,0,1336
3,5270498306774158115,0,88
3,839,0,444
3,2891,0,556
3,6588122883467696643,0,952
3,1317624576693539448,0,2208
3,1317624576693539686,0,72
3,1317624576693539599,0,56
3,5270498306774156131,0,328
3,1317624576693555786,0,740
3,1317624576693538890,0,628
3,6588122883467697017,0,2008
3,515,0,1608
3,5270498306774157616,0,924
3,5270498306774155267,0,1524
3,6588122883467696679,0,604
3,6588122883467694378,0,876
3,6588122883467694926,0,1204
3,6588122883467696999,0,1664
3,5270498306774157647,0,184
3,1317624576693539078,0,1508
3,5270498306774157411,0,484
3,2883,0,1124
3,6588122883467694691,0,20
3,5270498306774157386,0,56
3,5270498306774155559,0,720
3,2603,0,808
3,6588122883467696994,0,732
3,6588122883467694859,0,808
3,6588122883467694187,0,1056
3,6588122883467697020,0,3324
3,611,0,40
3,6588122883467696491,0,492
3,5270498306774155886,0,528
3,590,0,152
3,2082,0,40
3,5270498306774157670,0,1860
3,6588122883467696175,0,1700
3,1317624576693538850,0,1392
3,354,0,1156
3,16962,0,1892
3,358,0,1508
3,867,0,912
3,6588122883467694178,0,912
3,2598,0,812
3,291,0,516
3,6588122883467694863,0,1060
3,6588122883467694927,0,40
