#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
1,14,7323,680
1,1840697358,7952,1072
1,1227132930,7800,400
1,1840697382,8538,192
1,1227132962,5962,1392
1,1227135234,7504,128
1,1840697346,7661,1176
1,1227133447,7353,708
1,1227133187,7841,408
1,2062,6468,1284
1,1227133735,7318,140
1,613565283,7868,328
1,613564427,5983,1540
1,1840697391,6824,452
1,615,7745,36
1,839,7285,444
1,1840697615,5788,732
1,613566474,7425,56
1,111,3394,760
1,1840697638,8146,1372
1,10,8114,568
1,1840699459,5204,1148
1,1840698119,3879,440
1,1840698178,5659,952
1,1840698150,4854,972
1,2315,8279,344
1,613566798,7811,204
1,1840697602,7922,156
1,1227135554,8031,104
1,613565031,8300,580
1,1840697419,7331,1048
1,547,5412,2324
1,1227135851,8624,48
1,2915,7129,872
1,354,6051,1156
1,613566795,8435,172
1,1840699911,4979,1940
1,1227149835,7240,604
1,1227133446,8433,652
1,1840699494,6283,2044
1,323,4471,1696
1,1840699947,5700,772
1,1227133482,8031,388
1,613568802,6411,764
1,2607,5505,1384
1,1840700227,6199,796
1,2051,8632,876
1,1227133702,8956,148
1,613566479,8311,24
1,1227133711,7549,56
1,1840700174,4283,756
1,2083,7454,892
1,1840698154,5032,948
1,2115,5693,928
1,46,6360,772
1,2122,4199,756
1,613566823,7451,1100
1,1840698215,5543,744
1,1840699754,7255,1148
1,1227133739,7489,80
1,74,5759,644
1,3,7843,12
1,2863,5971,1260
1,870,5602,1176
1,2371,6683,1200
1,1840697450,5714,1524
