#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes
1,0.0004,1757.64,0,0,0,0,0,63,19528,43486704
2,100.569,231.894,0,0,0,0,0,120,37130,44859712
3,174.564,97.0479,0,0,0,0,0,164,48886,45776680
4,235.457,73.7876,0,0,0,0,0,195,58217,46504472
5,298.361,60.8936,0,0,0,0,0,223,67652,47240376
6,361.791,63.0367,0,0,0,0,0,249,76612,47959536
7,418.613,63.2939,0,0,0,0,0,274,83654,48504080
8,467.905,56.8533,0,0,0,0,0,294,89090,48941088
9,519.16,49.2664,0,0,0,0,0,309,93322,49263800
10,574.277,51.2588,0,0,0,0,0,332,101445,49896224
11,630.443,55.1127,0,0,0,0,0,355,107501,50377224
12,679.559,56.1632,0,0,0,0,0,376,114137,50866232
13,735.56,49.1143,0,0,0,0,0,395,120817,51423464
14,795.567,56.006,0,0,0,0,0,417,127249,51946272
15,857.393,60.0056,0,0,0,0,0,437,132954,52476464
16,922.958,61.8267,0,0,0,0,0,465,140910,53135096
17,991.348,66.7319,0,0,0,0,0,491,149650,53880360
18,1054.27,67.7223,0,0,0,0,0,511,154860,54361256
19,1117.22,62.8786,0,0,0,0,0,532,161196,54915472
20,1181.31,63.0068,0,0,0,0,0,555,165898,55259192
21,1247.17,64.1337,0,0,0,0,0,579,172293,55842528
22,1318.95,65.7922,0,0,0,0,0,608,180812,56511144
23,1386.59,72.1811,0,0,0,0,0,635,189734,57275336
24,1447.44,67.3956,0,0,0,0,0,660,196985,57905056
25,1505.25,60.202,0,0,0,0,0,682,203837,58539040
26,1563.27,57.8929,0,0,0,0,0,709,212173,59185608
27,1626.72,57.936,0,0,0,0,0,733,219789,59810752
28,1689.87,63.8157,0,0,0,0,0,758,226041,60406672
29,1753.03,63.7469,0,0,0,0,0,782,233868,61098168
30,1817.44,62.6574,0,0,0,0,0,805,240813,61738912
31,1890.31,63.9559,0,0,0,0,0,830,248909,62550528
32,1956.98,72.8644,0,0,0,0,0,857,259070,63503168
33,2020.62,66.6676,0,0,0,0,0,884,268597,64365536
34,2080.37,63.7923,0,0,0,0,0,907,274856,64926928
35,2142.88,59.606,0,0,0,0,0,926,279322,65337936
36,2201.13,62.5121,0,0,0,0,0,946,287216,66135200
37,2263.32,58.2496,0,0,0,0,0,972,301085,67256320
38,2303.4,62.184,0,0,0,0,0,986,306626,67973712
39,2374.74,80.69,0,0,0,0,0,994,309289,68215096
