#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes,cpuMemBytes
0,0.0009,1927.26,462.541,0,0,1048576,62,62,17357,43317392,73465856
0,133.179,245.52,556.934,0,0,1048576,63,125,36170,44784832,75563008
0,264.787,131.991,563.473,0,0,1048576,60,185,53917,46169072,77660160
0,359.036,131.258,394.975,0,0,1048576,50,235,69820,47409480,79757312
0,445.775,94.246,428.972,0,0,1048576,42,277,80768,48263424,81854464
0,530.821,86.7447,362.677,0,0,1048576,39,316,92344,49166352,83951616
0,612.41,85.0421,318.119,0,0,1048576,35,351,102910,49990552,86048768
0,705.865,81.8231,281.805,0,0,1048576,35,385,115086,50967944,88145920
0,785.951,93.2249,301.212,0,0,1048576,36,421,127102,51909664,90243072
0,864.352,80.0813,327.395,0,0,1048576,31,452,135600,52572456,92340224
0,950.173,78.6058,379.125,0,0,1048576,37,489,147417,53494208,94437376
0,1040.34,85.6549,329.798,0,0,1048576,40,527,158860,54449864,96534528
0,1115.37,90.1293,304.354,0,0,1048576,37,563,169050,55248168,98631680
0,1205,75.0369,302.771,0,0,1048576,29,591,175873,55812784,100728832
0,1281.78,89.6366,324.045,0,0,1048576,30,620,183824,56424096,102825984
0,1358.06,76.7649,176.891,0,0,1048576,28,649,191820,57047160,104923136
0,1445.76,76.2853,315.363,0,0,1048576,26,671,197241,57561128,107020288
0,1532.74,87.7037,327.387,0,0,1048576,36,707,206702,58301608,109117440
0,1676.13,86.9751,527.265,0,0,1048576,35,740,214925,59020664,111214592
0,1765.09,143.383,333.296,0,0,1048576,36,770,225176,59939400,113311744
0,1869.28,88.9615,344.26,0,0,1048576,38,804,235854,60867808,115408896
0,1956.21,104.199,339.893,0,0,1048576,39,836,245265,61793616,117506048
0,2005.37,86.9339,148.6,0,0,1048576,23,854,251088,62394216,119603200
0,2039.59,49.1796,9.673,0,0,1048576,3,856,251838,62474088,121700352
0,2084.92,34.195,46.049,0,0,1048576,10,866,255832,62813024,123797504
0,2130.44,45.3434,99.878,0,0,1048576,13,879,261081,63232248,125894656
0,2175.41,45.5143,33.479,0,0,1048576,9,888,263856,63436400,127991808
0,2214.67,44.9685,26.915,0,0,1048576,6,894,265964,63652512,130088960
0,2250.8,39.251,25.978,0,0,1048576,7,902,270044,63892024,132186112
0,2282.25,36.1203,35.677,0,0,1048576,10,909,271838,64123008,134283264
0,2325.67,31.4431,47.448,0,0,1048576,12,921,279572,64755536,136380416
0,2364.23,43.4196,50.869,0,0,1048576,13,934,285285,65171640,138477568
0,2398.07,38.5645,31.891,0,0,1048576,9,944,288976,65417184,140574720
0,2422.21,33.8371,14.148,0,0,1048576,4,947,290136,65529192,142671872
0,2453.45,24.3972,46.705,0,0,1048576,9,956,293308,65773176,144769024
0,2488.6,31.011,61.105,0,0,1048576,9,965,297678,66135616,146866176
0,2538.4,35.2143,165.396,0,0,1048576,20,984,308162,66982696,148963328
0,2564.14,49.705,10.443,0,0,1048576,4,989,309428,67049360,151060480
0,2595.08,25.7528,49.921,0,0,1048576,9,998,312186,67290952,153157632
0,2629.49,31.2379,39.715,0,0,1048576,11,1009,316992,67621776,155254784
0,2664.71,34.1011,26.586,0,0,1048576,6,1015,318848,67779232,157351936
0,2696.74,35.2269,25.061,0,0,1048576,6,1021,321528,68005432,159449088
0,2752.19,32.0373,192.965,0,0,1048576,16,1037,331193,68732704,161546240
0,2789.96,55.448,39.572,0,0,1048576,8,1045,334608,69027544,163643392
0,2837.76,37.7705,89.126,0,0,1048576,16,1061,340817,69487952,165740544
0,2872.88,47.7928,37.701,0,0,1048576,10,1069,343245,69774472,167837696
0,2903.46,35.4114,31.548,0,0,1048576,9,1078,347358,70097080,169934848
0,2934.21,30.5805,18.197,0,0,1048576,6,1084,349840,70244344,172032000
0,2973.41,30.4544,131.671,0,0,1048576,17,1101,359641,71041296,174129152
0,3010.68,39.1984,34.647,0,0,1048576,10,1112,364533,71389384,176226304
0,3045.24,37.2735,28.606,0,0,1048576,8,1119,367665,71692752,178323456
0,3079.95,34.7053,39.423,0,0,1048576,11,1130,372544,72052280,180420608
0,3115.34,34.623,24.854,0,0,1048576,7,1137,376393,72344416,182517760
0,3148.97,35.3307,28.804,0,0,1048576,8,1144,380182,72682936,184614912
0,3186.25,33.7055,48.496,0,0,1048576,13,1158,385589,73074912,186712064
0,3222.18,37.2031,40.601,0,0,1048576,12,1170,391210,73496528,188809216
0,3255.34,36.191,30.5,0,0,1048576,11,1181,395124,73815808,190906368
0,3285.54,32.9071,16.754,0,0,1048576,6,1187,396705,73933640,193003520
0,3323.31,30.2031,41.217,0,0,1048576,13,1199,400960,74273720,195100672
0,3357.31,37.7603,69.065,0,0,1048576,9,1208,403946,74503872,197197824
0,3399.97,34.0977,50.425,0,0,1048576,14,1222,408730,74899904,199294976
0,3431.39,42.5635,17.435,0,0,524288,5,1226,409936,75003592,201392128
0,3469.17,31.415,39.072,0,0,524288,13,1235,413478,75373936,203489280
0,3506.53,37.7933,42.023,0,0,524288,14,1248,417892,75723896,205586432
0,3548.71,37.349,50.064,0,0,524288,16,1263,422726,76166624,207683584
0,3582.3,42.1737,22.901,0,0,524288,7,1270,425500,76360480,209780736
0,3614.75,33.5951,26.678,0,0,524288,6,1276,427818,76550800,211877888
0,3646.56,32.4557,20.825,0,0,524288,8,1284,429749,76700872,213975040
0,3681.46,31.7998,30.911,0,0,524288,10,1294,432862,76948392,216072192
0,3714.49,35.1938,20.751,0,0,524288,8,1303,435074,77088168,218169344
0,3753.16,32.7385,24.736,0,0,524288,9,1311,437261,77303240,220266496
0,3789.94,38.6776,35.591,0,0,524288,11,1321,441190,77623040,222363648
0,3823.87,36.7704,19.76,0,0,524288,6,1327,443401,77772072,224460800
0,3862.33,34.1143,32.731,0,0,524288,10,1336,446034,78039664,226557952
0,3898.62,38.2794,31.265,0,0,524288,9,1346,449501,78273768,228655104
0,3932.76,36.316,29.29,0,0,524288,9,1353,452752,78585040,230752256
0,3966.51,34.1794,16.911,0,0,524288,6,1359,454620,78713688,232849408
0,4006.8,33.6953,49.247,0,0,524288,15,1374,458782,79040768,234946560
0,4033.1,40.2826,16.248,0,0,524288,5,1379,459962,79135928,237043712
0,4062.49,26.3025,39.711,0,0,524288,10,1389,462961,79386984,239140864
0,4097.83,29.3853,21.15,0,0,524288,8,1398,465545,79543504,241238016
