#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
1,1840697358,7019,1072
1,14,7154,680
1,1227132966,6246,1572
1,1227132930,7977,400
1,1840697602,7681,156
1,1840697382,8069,192
1,1840697350,7383,1024
1,1840698150,5219,972
1,1227133190,7447,1508
1,266,6568,1348
1,1840697859,7431,496
1,1840699427,7948,1604
1,1840698127,5099,1060
1,1840699659,7756,76
1,1840698154,4907,948
1,1840697614,6470,1036
1,1840699458,5392,1180
1,1840697646,6003,916
1,774,3288,556
1,518,5409,2780
1,1840699918,6411,1828
1,1840697446,5878,1200
1,1840697411,6607,1024
1,1840697606,7287,768
1,1227133191,7351,524
1,1840697454,4635,904
1,106,4183,1416
1,1227133507,8072,152
1,590,7222,196
1,613565295,7531,1080
1,613565283,8054,376
1,1227133218,7572,180
1,2819,3800,844
1,1227135563,7051,136
1,1840699467,4944,584
1,613565038,7439,528
1,613565286,8296,140
1,1840699942,4469,644
1,1227149835,7634,604
1,1840700174,4760,756
1,1840699939,4341,668
1,874,7993,476
1,1840699970,5547,744
1,1840699914,6217,1836
1,20482,7942,84
1,1227133454,7545,284
1,1840699974,6515,772
1,1840699439,7618,1700
1,1840699715,6214,2000
1,1840700270,8106,124
1,551,4755,644
1,1840697450,5767,1524
1,1840699403,5479,600
1,1840697858,7544,864
1,771,4756,616
1,1227149899,7885,1560
1,1840699395,7410,1060
1,1840698118,3885,884
1,1227132935,7328,1648
1,613566563,7863,484
1,2087,7565,248
1,1227135846,7628,740
1,613566575,7763,100
1,271,5442,832
1,1227135854,6503,1776
1,1840700262,7202,896
1,815,4810,780
1,1840699406,6420,648
1,778,5107,848
1,2662,6107,1392
2,619,8114,184
2,613564707,7799,84
2,613570566,8097,456
2,613570594,7753,356
2,49,2670,1424
2,613567050,7161,852
2,2147,3975,724
2,613568518,8058,1276
2,329,7455,16
2,613565254,7359,36
2,2379,5032,1580
2,1840699938,4692,1412
2,1840700206,6016,1824
2,1840699495,6793,1064
2,2886,6286,436
2,871,6647,2212
2,613565255,7576,1544
2,3,7776,12
2,1227135343,8046,252
2,2119,4767,640
2,1840697863,7322,1928
2,867,8587,912
2,1227135786,8898,784
2,779,5886,1880
2,610,7605,452
2,2830,4973,2104
2,2562,5605,1444
2,1227135851,8346,48
2,1840698147,4062,1104
2,303,7771,1252
2,547,4560,2324
2,1840699503,4883,1028
2,2319,8027,60
2,1840697390,6819,844
2,2415,7103,824
2,1840697899,7604,676
2,16451,8247,408
2,290,8637,64
2,1840698222,6554,1384
2,613564711,6910,720
2,2851,5993,1288
2,1227135843,7382,588
2,1227133446,8478,652
2,1840697890,4968,1256
2,2922,7163,312
2,1840697671,6350,1832
2,623,7734,52
2,358,5641,1508
2,1227133706,8365,52
2,16907,5804,868
2,613566466,8337,1008
2,2671,9315,68
2,1227133006,9013,56
2,1840699755,5936,492
2,1227133739,7295,80
2,35,7733,1112
2,1840697702,4627,612
2,1840700195,4291,1084
2,1227135555,8219,176
2,355,6354,2176
2,299,5997,1648
2,2151,5120,1760
2,613566566,7814,20
2,1227133447,7922,708
2,806,4206,1332
2,613566798,7772,204
2,613564718,30415,128
2,583,29496,28
2,1840698178,25360,952
2,1840697442,30193,912
2,1840697862,6151,2980
2,613564427,7446,1540
2,1227133483,8785,160
2,1227133561,6303,2644
3,2927,7846,1012
3,334,4576,1264
3,2090,8297,1504
3,1840698191,10301,40
3,2831,5831,864
3,2890,7511,800
3,2602,5040,1720
3,613568806,7202,1272
3,52,6927,1376
3,1840700287,2715,156
3,613568806,6796,1272
3,1840697639,7025,668
3,1840699490,5645,932
3,579,7892,24
3,1227149387,7607,312
3,613567234,8035,96
3,1840697419,7575,1048
3,1840699971,5881,1028
3,1840698190,7436,1204
3,1840697414,7187,860
3,550,4016,1264
3,1227133711,7881,56
3,2850,5879,1848
3,1840697603,10211,524
3,1840697451,4424,1056
3,613564430,9464,544
3,2818,5617,1220
3,16906,5775,1320
3,2670,8207,732
3,1840700259,7073,652
3,613565251,7563,1140
3,613566774,3671,196
3,1227133699,7708,108
3,1840699943,4327,604
3,331,3065,792
3,16906,5951,1320
3,1840697707,5131,1464
3,16899,6892,1032
3,11,7077,1160
3,613564458,7452,32
3,6182,7888,88
3,1840698114,3705,728
3,1227133521,3788,2772
3,613566531,7711,80
3,613565251,7034,1140
3,1227135855,7836,1224
3,2887,7682,628
3,71,4528,1484
3,1227133531,2167,160
3,1840698218,6759,2228
3,302,5910,572
3,267,5606,388
3,1227135790,9936,1252
3,2382,5966,660
3,559,7560,1120
3,1840697954,7747,680
3,1227133738,7952,420
3,613570562,8100,1100
3,1227133742,8679,212
3,1227133002,23513,628
4,1227133529,27586,1468
4,1840699751,29302,32
